Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
161,DTA,T2,GCA+SCA,0.821734302346323,0.86316628397723
161,PH,T2,GCA,0.943579864905372,0.946419122272188
161,PH,T2,GCA+SCA,0.805194011606315,0.8084277224963
161,TGW,T2,GCA,0.89149067375159,0.909684360971011
161,TGW,T2,GCA+SCA,0.80596817666622,0.825787066256373
161,GY,T2,GCA,0.811895621675532,0.872068336923235
161,GY,T2,GCA+SCA,0.738070307584208,0.795334383172637
161,GNP,T2,GCA,0.833313054573653,0.889341573717879
161,GNP,T2,GCA+SCA,0.73006359699462,0.787555120814045
162,DTA,T2,GCA,0.884267054127005,0.925934088091105
162,DTA,T2,GCA+SCA,0.835335463597948,0.877453218065071
162,PH,T2,GCA,0.946435586361148,0.949283436671161
162,PH,T2,GCA+SCA,0.80039552332649,0.803609963179207
162,TGW,T2,GCA,0.867168770226678,0.884866092068038
162,TGW,T2,GCA+SCA,0.766611454394772,0.785462555732349
162,GY,T2,GCA,0.809226346237923,0.869201231190035
162,GY,T2,GCA+SCA,0.716504309964516,0.772095161599694
162,GNP,T2,GCA,0.825951729149052,0.881485303254058
162,GNP,T2,GCA+SCA,0.714710791372051,0.770993302450972
163,DTA,T2,GCA,0.917994040932807,0.961250304641682
163,DTA,T2,GCA+SCA,0.878000202332173,0.92226912009682
163,PH,T2,GCA,0.957784560520143,0.960666560200746
163,PH,T2,GCA+SCA,0.81282641916805,0.816090782297239
163,TGW,T2,GCA,0.882303631132144,0.900309827685861
163,TGW,T2,GCA+SCA,0.758433514547626,0.777083519003715
163,GY,T2,GCA,0.840019554023116,0.902276642344916
163,GY,T2,GCA+SCA,0.79242459444798,0.853905812982737
163,GNP,T2,GCA,0.849118242986484,0.906209437552277
163,GNP,T2,GCA+SCA,0.770842256754619,0.831545045042739
164,DTA,T2,GCA,0.823763511542967,0.862579593238709
164,DTA,T2,GCA+SCA,0.74598770862135,0.783600534266124
164,PH,T2,GCA,0.945105165022399,0.947949012058575
164,PH,T2,GCA+SCA,0.708538541152215,0.711384077462064
164,TGW,T2,GCA,0.886585761583419,0.904679348554509
164,TGW,T2,GCA+SCA,0.799332469933583,0.818988186407359
164,GY,T2,GCA,0.828205098186505,0.889586571628899
164,GY,T2,GCA+SCA,0.724865282810276,0.781104830614521
164,GNP,T2,GCA,0.82991230051486,0.885712167038271
164,GNP,T2,GCA+SCA,0.673187499263214,0.726200107080058
165,DTA,T2,GCA,0.838797476298805,0.878321964710791
165,DTA,T2,GCA+SCA,0.784693872562999,0.824258269498948
165,PH,T2,GCA,0.944564986022447,0.947407207645383
165,PH,T2,GCA+SCA,0.751664522487231,0.754683255509269
165,TGW,T2,GCA,0.885708268901435,0.903783947858607
165,TGW,T2,GCA+SCA,0.765674612238179,0.784502676473544
165,GY,T2,GCA,0.832018062187737,0.893682129095313
165,GY,T2,GCA+SCA,0.762397395433823,0.821548917493343
165,GNP,T2,GCA,0.836093355634935,0.892308810709643
165,GNP,T2,GCA+SCA,0.729738762604329,0.787204706153537
166,DTA,T2,GCA,0.846369518945243,0.886250805178265
166,DTA,T2,GCA+SCA,0.785832758518937,0.825454578276194
166,PH,T2,GCA,0.915001319872751,0.917754583623622
166,PH,T2,GCA+SCA,0.749180720781809,0.752189478696596
166,TGW,T2,GCA,0.884787265692293,0.902844148665605
166,TGW,T2,GCA+SCA,0.788629514164575,0.808022043201409
166,GY,T2,GCA,0.796566567989651,0.855603187958809
166,GY,T2,GCA+SCA,0.753403114457504,0.811856804372311
166,GNP,T2,GCA,0.809600866005615,0.864035075779739
166,GNP,T2,GCA+SCA,0.741293949887729,0.799669848854077
167,DTA,T2,GCA,0.824454259283253,0.863302889301836
167,DTA,T2,GCA+SCA,0.747877050275617,0.785585136844135
167,PH,T2,GCA,0.958882594623413,0.961767898318369
167,PH,T2,GCA+SCA,0.785520251643905,0.788674951449704
167,TGW,T2,GCA,0.894566464399224,0.912822922856351
167,TGW,T2,GCA+SCA,0.813964303073183,0.833979818722523
167,GY,T2,GCA,0.820734277621025,0.881562059743314
167,GY,T2,GCA+SCA,0.764700808385624,0.824031043518992
167,GNP,T2,GCA,0.814268474102635,0.86901651451722
167,GNP,T2,GCA+SCA,0.723373477049862,0.780338162944835
168,DTA,T2,GCA,0.903292679337688,0.945856208730564
168,DTA,T2,GCA+SCA,0.868009259221634,0.911774431955498
